كشف حساب البنك فودافون 2

"م";"كود القيد";"تاريخ الادخال";"التاريخ";"المستخدم";"البيان";"مدين";"دائن";"الرصيد"
"moslsl";"idaccked";"dateentry";"fdate";"fdatehij";"txtdbf";"fdbamount";"fcramount";"frasedamount"
"1";"30";"22/12/2025 06:17:34 م";"22/12/2025 06:17:30 م";"مدير الشركه مصطفي";"تحصيل بالفيزا فاتورة بيع 28 نقدى";"215.000000";;"215.000000"
"2";"81";"24/12/2025 10:44:37 م";"24/12/2025 10:44:35 م";"مدير الشركه مصطفي";"تحصيل بالفيزا فاتورة بيع 79 نقدى";"90.000000";;"305.000000"
"3";"91";"25/12/2025 03:07:23 م";"25/12/2025 03:07:22 م";"مدير الشركه مصطفي";"تحصيل بالفيزا فاتورة بيع 87 نقدي";"675.000000";;"980.000000"
"4";"186";"31/12/2025 10:35:13 م";"31/12/2025 10:35:08 م";"مدير الشركه مصطفي";"تحصيل بالفيزا فاتورة بيع 167 نقدى";"300.000000";;"1280.000000"
"5";"225";"01/01/2026 09:40:45 م";"01/01/2026 09:40:45 م";"مدير الشركه مصطفي";"تحويل من احمد الفرخ المستلم ابراهيم";"6200.000000";;"7480.000000"
"6";"286";"04/01/2026 06:18:42 م";"04/01/2026 04:39:37 م";"مدير الشركه مصطفي";"تحويل الى شركة الحمد -احمد حمزه المستلم اسامه";;"2000.000000";"5480.000000"
"7";"296";"04/01/2026 06:19:07 م";"04/01/2026 06:18:58 م";"مدير الشركه مصطفي";"تحويل الى اورجينال (احمد حمزه) المستلم اسامه";;"4000.000000";"1480.000000"
"8";"309";"04/01/2026 08:41:36 م";"04/01/2026 08:41:35 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 250 نقدى";"340.000000";;"1820.000000"
"9";"350";"06/01/2026 01:23:24 م";"06/01/2026 01:23:24 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 282 نقدى";"50.000000";;"1870.000000"
"10";"355";"06/01/2026 03:20:25 م";"06/01/2026 03:20:25 م";"مدير الشركه مصطفي";"تحويل الى مصطفي الضويني المستلم مصطفى";;"500.000000";"1370.000000"
"11";"367";"06/01/2026 05:10:50 م";"06/01/2026 05:10:49 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 295 نقدى";"650.000000";;"2020.000000"
"12";"443";"08/01/2026 09:07:44 م";"08/01/2026 09:07:44 م";"مدير الشركه مصطفي";"تحويل من احمد الفرخ المستلم ابراهيم";"1500.000000";;"3520.000000"
"13";"462";"11/01/2026 11:52:51 م";"10/01/2026 02:20:21 م";"مدير الشركه مصطفي";"تحويل الى مصطفي الضويني المستلم ";;"3470.000000";"50.000000"
"14";"467";"10/01/2026 03:35:55 م";"10/01/2026 03:35:53 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 365 نقدى";"115.000000";;"165.000000"
"15";"563";"13/01/2026 02:43:32 م";"13/01/2026 02:43:30 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 440 نقدى";"625.000000";;"790.000000"
"16";"596";"14/01/2026 07:24:43 م";"14/01/2026 07:24:43 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 467 عادل المنزلاوي";"400.000000";;"1190.000000"
"17";"611";"15/01/2026 02:50:22 م";"15/01/2026 02:50:21 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 478 نقدى";"150.000000";;"1340.000000"
"18";"630";"15/01/2026 10:24:38 م";"15/01/2026 10:24:38 م";"مدير الشركه مصطفي";"تحويل من احمد الفرخ المستلم ابراهيم";"5000.000000";;"6340.000000"
"19";"645";"17/01/2026 01:02:51 م";"17/01/2026 01:02:51 م";"مدير الشركه مصطفي";"تحويل الى مصطفي الضويني المستلم ";;"6340.000000";"0.000000"
"20";"662";"17/01/2026 07:19:33 م";"17/01/2026 07:19:31 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 505 احمد عوايد";"850.000000";;"850.000000"
"21";"665";"17/01/2026 08:45:05 م";"17/01/2026 08:45:01 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 508 نقدى";"480.000000";;"1330.000000"
"22";"708";"19/01/2026 03:28:35 م";"19/01/2026 03:28:35 م";"مدير الشركه مصطفي";"تحويل الى الخزينة الرئيسية  المستلم ";;"1330.000000";"0.000000"
"23";"720";"19/01/2026 09:45:06 م";"19/01/2026 09:45:03 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 547 احمد عوايد";"230.000000";;"230.000000"
"24";"790";"21/01/2026 06:36:38 م";"21/01/2026 06:36:38 م";"محمد اسام";"تحويل من علي شبانه المستلم .";"50.000000";;"280.000000"
"25";"808";"22/01/2026 11:22:32 ص";"22/01/2026 11:22:31 ص";"محمد اسام";"تحويل من احمد عوايد المستلم .";"1408.000000";;"1688.000000"
