كشف حساب البنك انستا 2

"م";"كود القيد";"تاريخ الادخال";"التاريخ";"المستخدم";"البيان";"مدين";"دائن";"الرصيد"
"moslsl";"idaccked";"dateentry";"fdate";"fdatehij";"txtdbf";"fdbamount";"fcramount";"frasedamount"
"1";"285";"04/01/2026 03:35:18 م";"04/01/2026 03:35:17 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 234 نقدى";"100.000000";;"100.000000"
"2";"561";"13/01/2026 01:33:15 م";"13/01/2026 01:33:14 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 438 نقدى";"30.000000";;"130.000000"
"3";"645";"17/01/2026 01:02:27 م";"17/01/2026 01:02:27 م";"مدير الشركه مصطفي";"تحويل الى مصطفي الضويني المستلم ";;"130.000000";"0.000000"
"4";"712";"19/01/2026 05:02:09 م";"19/01/2026 05:02:07 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 540 نقدى";"300.000000";;"300.000000"
"5";"1615";"03/02/2026 03:46:37 م";"03/02/2026 03:46:37 م";"ابراهيم الضويني ";"تحويل الى باى  انستا 1 دمياط ";;"300.000000";"0.000000"
"6";"1633";"03/02/2026 09:06:51 م";"03/02/2026 09:06:42 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 1141 نقدى";"945.000000";;"945.000000"
"7";"1836";"06/02/2026 12:50:52 ص";"06/02/2026 12:50:52 ص";"ابراهيم الضويني ";"تحويل الى باى  انستا 1 دمياط ";;"945.000000";"0.000000"
"8";"2428";"15/02/2026 01:15:40 م";"15/02/2026 01:15:40 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 1602 نقدى";"410.000000";;"410.000000"
"9";"2449";"15/02/2026 01:59:00 م";"15/02/2026 01:59:00 م";"ابراهيم الضويني ";"تحويل الى باى  انستا 1 دمياط ";;"410.000000";"0.000000"
"10";"2879";"19/02/2026 02:55:34 م";"19/02/2026 02:55:33 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 1921 نقدى";"205.000000";;"205.000000"
"11";"2960";"20/02/2026 12:39:48 ص";"20/02/2026 12:39:48 ص";"مدير الشركه مصطفي";"تحويل الى باى  انستا 1 دمياط ";;"205.000000";"0.000000"
"12";"3100";"22/02/2026 03:25:32 م";"22/02/2026 03:25:32 م";"مدير الشركه مصطفي";"تحويل من الخزينة الرئيسية  المستلم مصطفي ";"20000.000000";;"20000.000000"
